Date,Year,Quarter,Assets,"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Other Short Term Assets,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Liabilities,Payables & Accruals,Short Term Debt,Other Short Term Liabilities,Total Current Liabilities,Long Term Debt,Other Long Term Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital & Additional Paid-In Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority Interest,Total Equity,Total Liabilities & Equity
1/1/2017,2016,4,,"18,648","2,219","1,556",558,"22,981","2,306","13,702","13,370","29,378","52,359",,"2,792","1,749","2,770","7,311","10,008","3,272","13,280","20,591",0,414,"30,936",428,"31,778",-10,"31,768","52,359"
4/1/2017,2017,1,,"10,812","2,085","1,910",972,"15,779","2,270","18,973","15,344","36,587","52,366",,"2,513","1,749","3,732","7,994","9,935","3,231","13,166","21,160",0,214,"30,815",186,"31,215",-9,"31,206","52,366"
7/1/2017,2017,2,,"9,982","4,201","2,066",659,"16,908","3,065","18,876","17,230","39,171","56,079",,"2,184","1,998","5,963","10,145","9,939","4,661","14,600","24,745",0,346,"30,768",230,"31,344",-10,"31,334","56,079"
10/1/2017,2017,3,,"20,863","3,532","2,002",624,"27,021","3,164","16,889","17,305","37,358","64,379",,"2,597","2,495","4,071","9,163","19,403","4,530","23,933","33,096",0,225,"30,778",291,"31,294",-11,"31,283","64,379"
1/1/2018,2017,4,,"37,308","3,632","2,035",618,"43,593","3,216","1,270","17,407","21,893","65,486",,"3,154","2,495","5,258","10,907","19,398","4,435","23,833","34,740",0,274,"30,088",384,"30,746",,"30,746","65,486"
4/1/2018,2018,1,,"35,403","3,053","1,872",638,"40,966","3,224","4,447","15,714","23,385","64,351",,"2,726","3,465","5,836","12,027","19,381","9,019","28,400","40,427",0,265,"23,273",386,"23,924",,"23,924","64,351"
7/1/2018,2018,2,,"39,571","3,535","1,797",641,"45,544","3,224",35,"15,323","18,582","64,126",,"2,716","3,733","6,211","12,660","19,361","8,286","27,647","40,307",0,495,"22,779",545,"23,819",,"23,819","64,126"
10/1/2018,2018,3,,"35,910","3,163","1,785","3,460","44,318","3,073",35,"14,664","17,772","62,090",,"3,023","7,103","6,086","16,212","15,378","7,432","22,810","39,022",0,0,"22,745",323,"23,068",,"23,068","62,090"
1/1/2019,2018,4,,"12,088","2,904","1,693",699,"17,384","2,975",,"12,359","15,334","32,718",,"2,906","1,005","7,478","11,389","15,365","5,157","20,522","31,911",0,0,542,265,807,,807,"32,718"
4/1/2019,2019,1,,"10,315","3,426","1,698",855,"16,294","2,932",,"15,020","17,952","34,246",,"2,243",998,"7,315","10,556","15,388","4,685","20,073","30,629",0,0,"3,415",202,"3,617",,"3,617","34,246"
7/1/2019,2019,2,,"10,330","3,638","1,725",631,"16,324","2,945",,"14,754","17,699","34,023",,"2,300",998,"8,071","11,369","15,405","3,383","18,788","30,157",0,384,"3,309",173,"3,866",,"3,866","34,023"
10/1/2019,2019,3,,"14,358","2,390","1,774",682,"19,204","3,037",,"11,892","14,929","34,133",,"2,601","3,000","5,976","11,577","13,426","3,667","17,093","28,670",0,581,"4,687",195,"5,463",,"5,463","34,133"
1/1/2020,2019,4,,"12,260","2,471","1,400",634,"16,765","3,081",,"13,111","16,192","32,957",,"2,416","2,496","4,023","8,935","13,437","5,676","19,113","28,048",,343,"4,466",100,"4,909",,"4,909","32,957"
4/1/2020,2020,1,,"11,423","2,737","1,420",625,"16,205","3,171",,"13,735","16,906","33,111",,"2,657","2,498","4,039","9,194","13,437","5,967","19,404","28,598",0,0,"4,376",137,"4,513",,"4,513","33,111"
7/1/2020,2020,2,,"9,946","3,081","1,700",586,"15,313","3,358",,"13,267","16,625","31,938",,"2,760","2,499","4,515","9,774","13,449","5,670","19,119","28,893",0,0,"2,990",55,"3,045",,"3,045","31,938"
10/1/2020,2020,3,,"10,600","1,847","2,343",768,"15,558","3,487",,"13,283","16,770","32,328",,"3,066",500,"4,348","7,914","15,425","5,683","21,108","29,022",0,113,"3,081",112,"3,306",,"3,306","32,328"
1/1/2021,2020,4,,"11,214","4,003","2,598",704,"18,519","3,711",,"13,364","17,075","35,594",,"3,301",500,"4,871","8,672","15,226","5,619","20,845","29,517",,586,"5,284",207,"6,077",,"6,077","35,594"
4/1/2021,2021,1,,"12,298","4,148","2,552",794,"19,792","4,033",,"13,654","17,687","37,479",,"3,578",500,"5,145","9,223","15,231","5,645","20,876","30,099",,113,"6,974",293,"7,380",,"7,380","37,479"
7/1/2021,2021,2,,"11,526","3,346","2,668",759,"18,299","4,186",,"14,683","18,869","37,168",,"3,542",500,"5,028","9,070","15,235","5,439","20,674","29,744",,,"7,143",281,"7,424",,"7,424","37,168"
10/1/2021,2021,3,,"12,907","2,952","3,133",701,"19,693","4,424",,"14,652","19,076","38,769",,"4,212","2,045","5,203","11,460","13,695","5,437","19,132","30,592",,,"7,993",184,"8,177",,"8,177","38,769"
1/1/2022,2021,4,,"12,414","3,579","3,228",854,"20,075","4,559",,"16,606","21,165","41,240",,"4,281","2,044","5,626","11,951","13,701","5,638","19,339","31,290",,,"9,822",128,"9,950",,"9,950","41,240"
4/1/2022,2022,1,,"11,310","4,032","3,861","1,019","20,222","4,723",,"17,875","22,598","42,820",,"4,966","2,042","5,265","12,273","13,708","5,506","19,214","31,487",,,"11,275",58,"11,333",,"11,333","42,820"
