DATE,PCU334334
2017-02-01,88.8
2017-03-01,88.8
2017-04-01,89.0
2017-05-01,88.9
2017-06-01,88.9
2017-07-01,88.6
2017-08-01,88.5
2017-09-01,88.3
2017-10-01,88.3
2017-11-01,88.3
2017-12-01,88.3
2018-01-01,88.7
2018-02-01,89.0
2018-03-01,89.0
2018-04-01,89.0
2018-05-01,89.0
2018-06-01,89.1
2018-07-01,89.0
2018-08-01,88.8
2018-09-01,88.9
2018-10-01,88.9
2018-11-01,88.9
2018-12-01,88.8
2019-01-01,89.8
2019-02-01,89.8
2019-03-01,89.8
2019-04-01,90.0
2019-05-01,89.8
2019-06-01,89.9
2019-07-01,89.9
2019-08-01,90.1
2019-09-01,89.9
2019-10-01,90.1
2019-11-01,90.1
2019-12-01,90.2
2020-01-01,91.0
2020-02-01,91.0
2020-03-01,91.0
2020-04-01,90.7
2020-05-01,90.8
2020-06-01,90.7
2020-07-01,90.7
2020-08-01,90.7
2020-09-01,90.7
2020-10-01,90.3
2020-11-01,90.4
2020-12-01,90.4
2021-01-01,90.5
2021-02-01,90.6
2021-03-01,90.6
2021-04-01,90.9
2021-05-01,91.1
2021-06-01,91.2
2021-07-01,91.418
2021-08-01,91.628
2021-09-01,92.187
2021-10-01,92.430
2021-11-01,92.652
2021-12-01,92.965
2022-01-01,94.360
2022-02-01,95.123
