statistic,Date,Close/Last,Volume,Open,High,Low,Gross Profit,Net Income Available to Common Shareholders,InflationRate,Total Assets,Total Liabilities,Net Income/Starting Line,Dividends Paid,Net Changes in Cash,BrentCrudeOil,DGS3MO,DGS2,DGS10,DTWEXBGS,CBBTCUSD,Close_AAPL,Close_ERIXF,Close_GOOGL,Close_INTL,Close_NXPI,Close_SSNLF,Close_TMUS,Close_VZ,Close_28
count,1197,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0
cardinality,1197,1096.0,1196.0,1098.0,1134.0,1122.0,1194.0,1195.0,589.0,1196.0,1197.0,1195.0,1186.0,1197.0,1101.0,193.0,241.0,252.0,1175.0,1196.0,1161.0,561.0,1187.0,933.0,1121.0,15.0,1082.0,790.0,1104.0
mean,,94.26849206349208,11179691.406850459,94.27854903926483,95.5596104427736,93.00536491228068,3787.3047648496054,870.2213045309917,2.504481706986537,43571.074952069794,31681.840998430052,870.2745983604052,-778.1467301063084,-71.1356444011234,62.54554698112209,1.081545530492899,1.3142773600668338,1.8982706766917294,114.23848688387636,18035.88710108605,82.7649217209691,9.382524143692565,1555.1059732664996,51.115630743525486,132.2916081871345,2007.218462823726,90.8186090225564,54.80019214703425,96.35447368421053
median,,78.04,9365665.0,78.03,79.07,76.91,3148.923076923077,845.3152173913043,2.1517241379310343,37291.03296703297,30214.054945054944,845.3152173913043,-754.5217391304348,-161.32608695652175,64.61044155844158,1.1,1.47,1.83,114.4372,9314.99,60.895,9.0,1252.8,50.9,115.94,2210.0,78.63,55.64,79.29
n_at_median,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,7.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,940.0,2.0,4.0,1.0
mode,2017-06-20,52.49,11301880.0,52.0,52.59,52.27,2923.108695652174,743.1098901098901,1.7,33251.0,24311.64835164835,689.2826086956521,-878.7173913043479,-25586.402173913044,80.7663636363636,0.05,0.16,1.63,108.4985,10225.82,43.125,9.0,1005.65,46.7,97.65,2210.0,59.75,55.78,51.01
n_at_mode,1,4.0,2.0,3.0,3.0,3.0,2.0,2.0,76.0,2.0,1.0,2.0,2.0,1.0,97.0,80.0,84.0,17.0,2.0,2.0,3.0,19.0,2.0,4.0,3.0,940.0,3.0,5.0,3.0
stddev,,39.52612255955491,8256856.474713904,39.57026028694042,40.21362588213969,38.87666911680897,1144.6163888782937,1629.2531809969742,1.180850384192906,12754.903674509836,3862.101971275898,1628.656900717916,57.214275573425134,6644.707417065519,13.667613586059966,0.9254940110677276,0.9614847509719296,0.7609048478899545,3.386670403428456,17569.94025008213,43.68783100500779,2.1660944193653147,619.518530045659,6.854327524274277,43.74224295426485,622.2820458638441,28.11118364849805,4.207219513322637,39.78939575730098
min,,49.4,2120165.0,49.52,49.8,48.56,2654.0,-5913.263736263736,1.2,31938.0,24311.64835164835,-5912.934065934066,-911.0,-25586.402173913044,23.3372727272727,0.0,0.09,0.52,106.4903,2217.24,35.5475,5.54,919.46,33.46,64.56,57.75,55.36,42.89,49.4
n_at_min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.0,1.0,1.0,1.0
max,,189.28,155953900.0,190.304,193.58,185.1852,7521.0,3325.666666666667,5.5,65473.38888888889,40425.68131868132,3325.5444444444447,-705.0,19877.922222222223,83.65,2.49,2.98,3.24,126.1428,67510.06,182.01,14.36,2996.77,68.47,238.9,2450.0,149.41,62.07,189.28
n_at_max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.0,1.0,1.0,1.0
n_zero,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_missing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
