,MSE,Mean,Max,Min
0,64.8441442830866,218.89230915940135,4328.404138787597,55.660061697355026
1,62.30691372611971,,,
2,73.8474206191651,,,
3,96.21590457033966,,,
4,181.1682911765573,,,
5,172.62929970794866,,,
6,164.6047656312234,,,
7,108.82707334292196,,,
8,175.64060859057912,,,
9,101.70540736519078,,,
10,94.38821685305626,,,
11,136.12674852676815,,,
12,126.07486014531086,,,
13,106.12203470615708,,,
14,183.61858309727776,,,
15,79.42797245862745,,,
16,81.75324257369256,,,
17,192.40045420420392,,,
18,81.48653023814853,,,
19,158.0549731602108,,,
20,70.728041047617,,,
21,68.5533290883436,,,
22,95.87857650130087,,,
23,179.90830401581468,,,
24,93.31445504879896,,,
25,103.01805156617988,,,
26,112.89173563983553,,,
27,174.04051268173913,,,
28,126.59765730083258,,,
29,104.2022842156455,,,
30,82.00213297686494,,,
31,93.67683527723624,,,
32,187.03941878032455,,,
33,77.1180522577969,,,
34,100.02959475410103,,,
35,118.33911545652637,,,
36,182.00777905820212,,,
37,182.2949096129933,,,
38,90.52762746096123,,,
39,102.1793640338869,,,
40,163.31969400077026,,,
41,98.2000583697672,,,
42,157.5972248281905,,,
43,59.280908383393836,,,
44,92.93218496820381,,,
45,69.6543894484743,,,
46,180.51705633820353,,,
47,83.59437457531891,,,
48,179.4822076825185,,,
49,66.16809828549027,,,
50,145.0620858353747,,,
51,90.31826128031344,,,
52,4328.404138787597,,,
53,87.0716832708256,,,
54,122.73364950344504,,,
55,81.75245728184628,,,
56,91.84273194680978,,,
57,121.4422953148281,,,
58,179.81737178729776,,,
59,190.71715430252752,,,
60,163.25222265230911,,,
61,86.53377431316882,,,
62,175.83953930539616,,,
63,101.65466458238062,,,
64,55.660061697355026,,,
65,112.42996021511027,,,
66,76.10367614259579,,,
67,88.34338603035809,,,
68,185.4083410534055,,,
69,87.29345847487906,,,
70,104.69137544889176,,,
71,140.76768755981618,,,
72,61.26828536632294,,,
73,185.67903600046517,,,
74,189.0338684234211,,,
75,184.66641998007697,,,
76,188.8115041647623,,,
77,75.33549361573542,,,
78,133.57253460612486,,,
79,152.62190861893473,,,
80,98.30513829546202,,,
81,101.31607215924153,,,
82,84.08485460947118,,,
83,119.22078878745448,,,
84,174.29281869566427,,,
85,91.65467609609775,,,
86,186.06237384913692,,,
87,108.81574550043791,,,
88,184.76060676395767,,,
89,181.68350281657524,,,
90,184.19592920064431,,,
91,1390.4916351453055,,,
92,147.29330720595715,,,
93,179.0329659990668,,,
94,61.07882699598021,,,
95,4254.22904353738,,,
96,84.22772344187904,,,
97,176.8502667078327,,,
98,80.18158383131446,,,
99,76.98661010698213,,,
